Round,Opponent,Result,Venue,GF,GA,xG,xGA,Poss,Avg_GF,Avg_GA,Avg_xG,Avg_xGA,Avg_Poss,Label,Form_Score
14,Tottenham,D,Home,3,3,2.6,0.5,55,3.6666666666666665,2.0,2.0333333333333337,1.4666666666666666,59.666666666666664,0,8.333333333333334
14,Newcastle Utd,L,Away,0,1,0.5,2.4,42,1.6666666666666667,0.0,1.7,1.2666666666666668,56.0,-1,8.88888888888889
14,Manchester Utd,W,Home,1,0,2.4,0.5,58,1.6666666666666667,1.0,1.3,1.1666666666666667,49.333333333333336,1,7.888888888888888
14,Everton,L,Home,0,1,0.7,0.7,61,2.0,2.0,1.3333333333333333,1.4333333333333333,40.0,-1,5.111111111111111
14,Burnley,L,Away,0,5,0.4,1.8,37,1.3333333333333333,1.6666666666666667,0.9666666666666665,1.8666666666666665,41.333333333333336,-1,5.444444444444444
14,Manchester City,D,Away,3,3,0.5,2.6,45,1.0,2.6666666666666665,1.3,2.6333333333333333,53.333333333333336,0,5.333333333333333
14,Crystal Palace,D,Home,1,1,1.1,0.9,55,2.3333333333333335,2.0,1.5,1.5,48.666666666666664,0,6.666666666666666
14,Arsenal,L,Away,1,2,0.7,2.8,43,1.6666666666666667,2.0,1.5666666666666667,1.5333333333333332,47.666666666666664,-1,6.333333333333333
15,Luton Town,W,Away,4,3,2.2,0.5,66,2.0,0.6666666666666666,2.0666666666666664,0.7000000000000001,61.0,1,8.88888888888889
15,Manchester City,W,Home,1,0,2.3,0.6,46,2.3333333333333335,1.3333333333333333,1.7999999999999996,1.7333333333333332,50.333333333333336,1,8.0
15,Crystal Palace,W,Away,2,0,1.8,1.0,41,2.3333333333333335,1.0,2.433333333333333,0.6666666666666669,46.666666666666664,1,8.0
15,Brighton,L,Away,1,2,1.5,1.5,39,1.0,1.6666666666666667,1.9333333333333336,1.1666666666666667,49.0,-1,7.111111111111112
15,Brentford,W,Home,2,1,1.5,1.5,61,2.0,2.0,1.2999999999999998,1.7,60.666666666666664,1,6.555555555555555
15,Wolves,L,Away,0,1,0.9,0.8,49,2.3333333333333335,1.6666666666666667,1.1333333333333335,1.0333333333333339,50.0,-1,5.111111111111111
15,Manchester Utd,L,Away,1,2,1.5,4.1,55,2.6666666666666665,3.3333333333333335,1.8333333333333333,2.1333333333333333,41.0,-1,6.888888888888889
15,Bournemouth,L,Home,0,2,1.0,1.8,59,1.3333333333333333,2.0,1.5666666666666667,1.1666666666666667,57.666666666666664,-1,5.333333333333333
15,Newcastle Utd,W,Home,3,0,3.3,1.5,38,1.3333333333333333,1.6666666666666667,1.5333333333333332,1.7000000000000002,41.0,1,7.888888888888888
15,Nott'ham Forest,W,Home,5,0,2.5,0.3,63,2.3333333333333335,3.0,1.6666666666666667,2.1666666666666665,49.333333333333336,1,5.333333333333333
15,Sheffield Utd,W,Away,2,0,1.7,1.0,75,2.6666666666666665,1.3333333333333333,1.4666666666666668,1.366666666666667,53.333333333333336,1,8.666666666666668
15,Arsenal,L,Home,3,4,0.5,2.2,34,1.0,1.6666666666666667,0.5,2.3000000000000003,35.666666666666664,-1,5.444444444444444
